========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    BWCost    CPUCost
    68        SUCCESS        4            42        0.3        0.3        3.66            43            3.02
    15        SUCCESS        4            47        0.3        0.3        3.77            37.6            3.12
    67        SUCCESS        4            58        0.3        0.3        3.77            43.5            3.12
    79        SUCCESS        4            25        0.3        0.3        3.88            39.7            3.22
    14        SUCCESS        4            59        0.3        0.3        3.99            26.6            3.32
    21        SUCCESS        4            38        0.3        0.3        4.11            27.2            3.43
    175        SUCCESS        4            23        0.3        0.3        4.46            36.9            3.74
    63        SUCCESS        4            44        0.3        0.3        4.89            28.2            4.13
    55        SUCCESS        4            48        0.3        0.3        5.12            28.3            4.34
    48        SUCCESS        4            27        0.3        0.3        5.44            6            4.63
    41        SUCCESS        4            37        0.3        0.3        5.77            22.4            4.92
    3        SUCCESS        4            15        0.3        0.3        6.01            10.1            5.14
    2        SUCCESS        4            50        0.3        0.3        6.42            38.9            5.51
    104        SUCCESS        4            47        0.3        3.77        6.77            33            2.7
    131        SUCCESS        4            53        0.3        0.3        7.24            30.3            6.25
    9        SUCCESS        4            46        0.3        0.3        7.35            15.8            6.35
    12        SUCCESS        4            63        0.3        0.3        7.35            56.9            6.35
    142        SUCCESS        4            25        0.3        3.88        7.81            56.4            3.53
    102        SUCCESS        4            48        0.3        5.12        7.92            20.9            2.52
    23        SUCCESS        4            57        0.3        0.3        8.08            19.2            7
    0        SUCCESS        4            20        0.3        0.3        8.19            48.6            7.1
    24        SUCCESS        4            21        0.3        0.3        8.19            23.3            7.1
    32        SUCCESS        4            26        0.3        0.3        8.3            11.2            7.2
    11        SUCCESS        4            31        0.3        0.3        8.41            42.6            7.3
    82        SUCCESS        4            42        0.3        3.66        8.63            18.7            4.47
    59        SUCCESS        4            61        0.3        0.3        8.75            13.4            7.6
    118        SUCCESS        4            34        0.3        0.3        8.86            49.2            7.7
    8        SUCCESS        4            24        0.3        0.3        8.96            18.6            7.8
    145        SUCCESS        3            12        0.3        0.3        8.97            43.4            4.33
    38        SUCCESS        4            17        0.3        0.3        9.07            36.9            7.9
    7        SUCCESS        4            40        0.3        0.3        9.07            53.8            7.9
    74        SUCCESS        4            36        0.3        0.3        9.18            39.4            7.99
    36        SUCCESS        4            30        0.3        0.3        9.29            13.3            8.09
    42        SUCCESS        4            52        0.3        0.3        9.4            30.6            8.19
    18        SUCCESS        4            55        0.3        0.3        9.6            12.2            8.37
    4        SUCCESS        4            39        0.3        0.3        9.71            24.2            8.47
    25        SUCCESS        4            59        0.3        3.99        9.71            22.1            5.15
    54        SUCCESS        4            49        0.3        0.3        9.93            54.9            8.66
    5        SUCCESS        4            33        0.3        0.3        10.04            32.4            8.76
    64        SUCCESS        4            28        0.3        0.3        10.15            13.7            8.86
    62        SUCCESS        4            16        0.3        0.3        10.45            25.2            9.13
    13        SUCCESS        4            46        0.3        7.35        10.56            45            2.89
    17        SUCCESS        4            60        0.3        0.3        10.56            23.8            9.23
    53        SUCCESS        4            32        0.3        0.3        10.67            29.5            9.33
    50        SUCCESS        4            50        0.3        6.42        10.78            45.9            3.92
    20        SUCCESS        4            64        0.3        0.3        10.9            15.8            9.54
    39        SUCCESS        2            4        0.3        0.3        10.94            19.2            3.19
    119        SUCCESS        4            19        0.3        0.3        11.01            22.6            9.64
    35        SUCCESS        4            45        0.3        0.3        11.12            6.5            9.74
    61        SUCCESS        4            51        0.3        0.3        11.12            18            9.74
    143        SUCCESS        4            53        0.3        7.24        11.12            25            3.49
    72        SUCCESS        4            22        0.3        0.3        11.34            22.4            9.94
    77        SUCCESS        4            21        0.3        8.19        11.72            35.2            3.18
    1        SUCCESS        4            56        0.3        0.3        11.91            20.1            10.45
    139        SUCCESS        4            18        0.3        0.3        12.02            40.3            10.55
    177        SUCCESS        4            23        0.3        4.46        12.02            16.2            6.81
    43        SUCCESS        3            13        0.3        0.3        12.03            50.4            5.86
    71        SUCCESS        4            29        0.3        0.3        12.13            5.3            10.65
    115        SUCCESS        4            36        0.3        9.18        12.13            41.2            2.65
    6        SUCCESS        4            41        0.3        0.3        12.13            46.6            10.65
    30        SUCCESS        4            43        0.3        0.3        12.13            20.6            10.65
    151        SUCCESS        3            5        0.3        0.3        12.13            37.6            5.92
    29        SUCCESS        4            55        0.3        9.6        12.24            20.3            2.38
    34        SUCCESS        4            62        0.3        0.3        12.38            48.7            10.87
    19        SUCCESS        4            35        0.3        0.3        12.73            34.7            11.19
    96        SUCCESS        4            54        0.3        0.3        12.84            42.6            11.29
    90        SUCCESS        4            58        0.3        3.77        12.84            32.4            8.17
    86        SUCCESS        4            38        0.3        4.11        12.95            45            7.96
    31        SUCCESS        4            59        0.3        9.71        13.09            26.2            3.04
    162        SUCCESS        3            7        0.3        0.3        13.13            49.9            6.41
    22        SUCCESS        4            33        0.3        10.04        13.4            50.4            3.03
    117        SUCCESS        4            60        0.3        10.56        13.65            43.2            2.78
    94        SUCCESS        4            15        0.3        6.01        13.76            32.8            6.97
    56        SUCCESS        4            57        0.3        8.08        13.94            19.2            5.27
    179        SUCCESS        4            32        0.3        10.67        14.05            36.5            3.05
    46        SUCCESS        4            40        0.3        9.07        14.4            30.3            4.79
    132        SUCCESS        4            21        0.3        11.72        14.51            47.1            2.51
    60        SUCCESS        3            14        0.3        0.3        14.54            40.7            7.12
    65        SUCCESS        4            37        0.3        5.77        14.67            20.8            8.01
    133        SUCCESS        4            27        0.3        5.44        14.78            27.7            8.4
    84        SUCCESS        4            61        0.3        8.75        14.78            39.6            5.43
    75        SUCCESS        4            63        0.3        7.35        14.89            17.6            6.78
    58        SUCCESS        4            31        0.3        8.41        15            37.7            5.93
    166        SUCCESS        4            47        0.3        6.77        15.11            28.3            7.5
    10        SUCCESS        3            8        0.3        0.3        15.17            38.9            7.44
    128        SUCCESS        4            44        0.3        4.89        15.57            20.7            9.61
    47        SUCCESS        4            17        0.3        9.07        15.8            48.7            6.05
    16        SUCCESS        4            46        0.3        10.56        16.09            32            4.98
    66        SUCCESS        4            51        0.3        11.12        16.3            7.8            4.67
    155        SUCCESS        4            48        0.3        7.92        16.41            32.4            7.65
    106        SUCCESS        4            55        0.3        12.24        16.52            44.9            3.85
    88        SUCCESS        4            64        0.3        10.9        16.63            45.9            5.16
    101        SUCCESS        4            42        0.3        8.63        17.16            23.3            7.68
