========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time
    5        SUCCESS        2            5        479.99        0.3        480.29
    170        SUCCESS        2            5        479.99        0.3        480.29
    335        SUCCESS        2            5        479.99        0.3        480.29
    10        SUCCESS        2            10        479.99        0.3        480.29
    175        SUCCESS        2            10        479.99        0.3        480.29
    340        SUCCESS        2            10        479.99        0.3        480.29
    15        SUCCESS        2            15        479.99        0.3        480.29
    180        SUCCESS        2            15        479.99        0.3        480.29
    345        SUCCESS        2            15        479.99        0.3        480.29
    20        SUCCESS        2            20        479.99        0.3        480.29
    185        SUCCESS        2            20        479.99        0.3        480.29
    350        SUCCESS        2            20        479.99        0.3        480.29
    25        SUCCESS        2            25        479.99        0.3        480.29
    190        SUCCESS        2            25        479.99        0.3        480.29
    355        SUCCESS        2            25        479.99        0.3        480.29
    30        SUCCESS        2            30        479.99        0.3        480.29
    195        SUCCESS        2            30        479.99        0.3        480.29
    360        SUCCESS        2            30        479.99        0.3        480.29
    35        SUCCESS        2            35        479.99        0.3        480.29
    200        SUCCESS        2            35        479.99        0.3        480.29
    365        SUCCESS        2            35        479.99        0.3        480.29
    40        SUCCESS        2            40        479.99        0.3        480.29
    205        SUCCESS        2            40        479.99        0.3        480.29
    370        SUCCESS        2            40        479.99        0.3        480.29
    45        SUCCESS        2            45        479.99        0.3        480.29
    210        SUCCESS        2            45        479.99        0.3        480.29
    375        SUCCESS        2            45        479.99        0.3        480.29
    50        SUCCESS        2            50        479.99        0.3        480.29
    215        SUCCESS        2            50        479.99        0.3        480.29
    380        SUCCESS        2            50        479.99        0.3        480.29
    6        SUCCESS        2            6        479.99        0.3        480.29
    171        SUCCESS        2            6        479.99        0.3        480.29
    336        SUCCESS        2            6        479.99        0.3        480.29
    11        SUCCESS        2            11        479.99        0.3        480.29
    176        SUCCESS        2            11        479.99        0.3        480.29
    341        SUCCESS        2            11        479.99        0.3        480.29
    16        SUCCESS        2            16        479.99        0.3        480.29
    181        SUCCESS        2            16        479.99        0.3        480.29
    346        SUCCESS        2            16        479.99        0.3        480.29
    21        SUCCESS        2            21        479.99        0.3        480.29
    186        SUCCESS        2            21        479.99        0.3        480.29
    351        SUCCESS        2            21        479.99        0.3        480.29
    26        SUCCESS        2            26        479.99        0.3        480.29
    191        SUCCESS        2            26        479.99        0.3        480.29
    356        SUCCESS        2            26        479.99        0.3        480.29
    31        SUCCESS        2            31        479.99        0.3        480.29
    196        SUCCESS        2            31        479.99        0.3        480.29
    361        SUCCESS        2            31        479.99        0.3        480.29
    36        SUCCESS        2            36        479.99        0.3        480.29
    201        SUCCESS        2            36        479.99        0.3        480.29
    366        SUCCESS        2            36        479.99        0.3        480.29
    41        SUCCESS        2            41        479.99        0.3        480.29
    206        SUCCESS        2            41        479.99        0.3        480.29
    371        SUCCESS        2            41        479.99        0.3        480.29
    46        SUCCESS        2            46        479.99        0.3        480.29
    211        SUCCESS        2            46        479.99        0.3        480.29
    376        SUCCESS        2            46        479.99        0.3        480.29
    51        SUCCESS        2            51        479.99        0.3        480.29
    216        SUCCESS        2            51        479.99        0.3        480.29
    381        SUCCESS        2            51        479.99        0.3        480.29
    7        SUCCESS        2            7        479.99        0.3        480.29
    172        SUCCESS        2            7        479.99        0.3        480.29
    337        SUCCESS        2            7        479.99        0.3        480.29
    12        SUCCESS        2            12        479.99        0.3        480.29
    177        SUCCESS        2            12        479.99        0.3        480.29
    342        SUCCESS        2            12        479.99        0.3        480.29
    17        SUCCESS        2            17        479.99        0.3        480.29
    182        SUCCESS        2            17        479.99        0.3        480.29
    347        SUCCESS        2            17        479.99        0.3        480.29
    22        SUCCESS        2            22        479.99        0.3        480.29
    187        SUCCESS        2            22        479.99        0.3        480.29
    352        SUCCESS        2            22        479.99        0.3        480.29
    27        SUCCESS        2            27        479.99        0.3        480.29
    192        SUCCESS        2            27        479.99        0.3        480.29
    357        SUCCESS        2            27        479.99        0.3        480.29
    32        SUCCESS        2            32        479.99        0.3        480.29
    197        SUCCESS        2            32        479.99        0.3        480.29
    362        SUCCESS        2            32        479.99        0.3        480.29
    37        SUCCESS        2            37        479.99        0.3        480.29
    202        SUCCESS        2            37        479.99        0.3        480.29
    367        SUCCESS        2            37        479.99        0.3        480.29
    42        SUCCESS        2            42        479.99        0.3        480.29
    207        SUCCESS        2            42        479.99        0.3        480.29
    372        SUCCESS        2            42        479.99        0.3        480.29
    47        SUCCESS        2            47        479.99        0.3        480.29
    212        SUCCESS        2            47        479.99        0.3        480.29
    377        SUCCESS        2            47        479.99        0.3        480.29
    52        SUCCESS        2            52        479.99        0.3        480.29
    217        SUCCESS        2            52        479.99        0.3        480.29
    382        SUCCESS        2            52        479.99        0.3        480.29
    8        SUCCESS        2            8        479.99        0.3        480.29
    173        SUCCESS        2            8        479.99        0.3        480.29
    338        SUCCESS        2            8        479.99        0.3        480.29
    13        SUCCESS        2            13        479.99        0.3        480.29
    178        SUCCESS        2            13        479.99        0.3        480.29
    343        SUCCESS        2            13        479.99        0.3        480.29
    18        SUCCESS        2            18        479.99        0.3        480.29
    183        SUCCESS        2            18        479.99        0.3        480.29
    348        SUCCESS        2            18        479.99        0.3        480.29
    23        SUCCESS        2            23        479.99        0.3        480.29
    188        SUCCESS        2            23        479.99        0.3        480.29
    353        SUCCESS        2            23        479.99        0.3        480.29
    28        SUCCESS        2            28        479.99        0.3        480.29
    193        SUCCESS        2            28        479.99        0.3        480.29
    358        SUCCESS        2            28        479.99        0.3        480.29
    33        SUCCESS        2            33        479.99        0.3        480.29
    198        SUCCESS        2            33        479.99        0.3        480.29
    363        SUCCESS        2            33        479.99        0.3        480.29
    38        SUCCESS        2            38        479.99        0.3        480.29
    203        SUCCESS        2            38        479.99        0.3        480.29
    368        SUCCESS        2            38        479.99        0.3        480.29
    43        SUCCESS        2            43        479.99        0.3        480.29
    208        SUCCESS        2            43        479.99        0.3        480.29
    373        SUCCESS        2            43        479.99        0.3        480.29
    48        SUCCESS        2            48        479.99        0.3        480.29
    213        SUCCESS        2            48        479.99        0.3        480.29
    378        SUCCESS        2            48        479.99        0.3        480.29
    53        SUCCESS        2            53        479.99        0.3        480.29
    218        SUCCESS        2            53        479.99        0.3        480.29
    383        SUCCESS        2            53        479.99        0.3        480.29
    9        SUCCESS        2            9        479.99        0.3        480.29
    174        SUCCESS        2            9        479.99        0.3        480.29
    339        SUCCESS        2            9        479.99        0.3        480.29
    14        SUCCESS        2            14        479.99        0.3        480.29
    179        SUCCESS        2            14        479.99        0.3        480.29
    344        SUCCESS        2            14        479.99        0.3        480.29
    19        SUCCESS        2            19        479.99        0.3        480.29
    184        SUCCESS        2            19        479.99        0.3        480.29
    349        SUCCESS        2            19        479.99        0.3        480.29
    24        SUCCESS        2            24        479.99        0.3        480.29
    189        SUCCESS        2            24        479.99        0.3        480.29
    354        SUCCESS        2            24        479.99        0.3        480.29
    29        SUCCESS        2            29        479.99        0.3        480.29
    194        SUCCESS        2            29        479.99        0.3        480.29
    359        SUCCESS        2            29        479.99        0.3        480.29
    34        SUCCESS        2            34        479.99        0.3        480.29
    199        SUCCESS        2            34        479.99        0.3        480.29
    364        SUCCESS        2            34        479.99        0.3        480.29
    39        SUCCESS        2            39        479.99        0.3        480.29
    204        SUCCESS        2            39        479.99        0.3        480.29
    369        SUCCESS        2            39        479.99        0.3        480.29
    44        SUCCESS        2            44        479.99        0.3        480.29
    209        SUCCESS        2            44        479.99        0.3        480.29
    374        SUCCESS        2            44        479.99        0.3        480.29
    49        SUCCESS        2            49        479.99        0.3        480.29
    214        SUCCESS        2            49        479.99        0.3        480.29
    379        SUCCESS        2            49        479.99        0.3        480.29
    54        SUCCESS        2            54        479.99        0.3        480.29
    219        SUCCESS        2            54        479.99        0.3        480.29
    384        SUCCESS        2            54        479.99        0.3        480.29
    55        SUCCESS        3            55        479.99        0.3        480.29
    220        SUCCESS        3            55        479.99        0.3        480.29
    385        SUCCESS        3            55        479.99        0.3        480.29
    60        SUCCESS        3            60        479.99        0.3        480.29
    225        SUCCESS        3            60        479.99        0.3        480.29
    390        SUCCESS        3            60        479.99        0.3        480.29
    65        SUCCESS        3            65        479.99        0.3        480.29
