========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    BWCost    CPUCost
    39        SUCCESS        4            24        0.3        0.3        2.96            19.2            2.39
    102        SUCCESS        4            61        0.3        0.3        3.07            20.9            2.49
    13        SUCCESS        4            63        0.3        0.3        3.46            45            2.84
    22        SUCCESS        4            27        0.3        0.3        3.66            50.4            3.03
    15        SUCCESS        4            60        0.3        0.3        3.77            37.6            3.13
    79        SUCCESS        4            20        0.3        0.3        3.88            39.7            3.22
    93        SUCCESS        4            56        0.3        0.3        3.88            23.3            3.22
    14        SUCCESS        4            21        0.3        0.3        3.99            26.6            3.32
    135        SUCCESS        4            30        0.3        0.3        3.99            29.1            3.32
    50        SUCCESS        4            55        0.3        0.3        4.55            45.9            3.82
    55        SUCCESS        4            16        0.3        0.3        5.12            28.3            4.34
    107        SUCCESS        4            28        0.3        0.3        5.44            53.7            4.63
    46        SUCCESS        4            58        0.3        0.3        5.62            30.3            4.79
    88        SUCCESS        4            19        0.3        0.3        5.96            45.9            5.09
    3        SUCCESS        4            34        0.3        0.3        6.07            10.1            5.19
    43        SUCCESS        4            40        0.3        0.3        6.18            50.4            5.29
    56        SUCCESS        4            50        0.3        0.3        6.18            19.2            5.29
    147        SUCCESS        4            22        0.3        0.3        6.29            34.9            5.39
    2        SUCCESS        4            26        0.3        0.3        6.42            38.9            5.51
    110        SUCCESS        4            24        0.3        2.96        6.72            22.8            3.38
    58        SUCCESS        4            29        0.3        0.3        6.83            37.7            5.88
    81        SUCCESS        4            62        0.3        0.3        7.01            41.5            6.04
    9        SUCCESS        4            64        0.3        0.3        7.27            15.8            6.27
    12        SUCCESS        4            42        0.3        0.3        7.38            56.9            6.37
    10        SUCCESS        4            37        0.3        0.3        7.74            38.9            6.69
    94        SUCCESS        4            44        0.3        0.3        8.05            32.8            6.97
    0        SUCCESS        4            54        0.3        0.3        8.16            48.6            7.07
    24        SUCCESS        4            23        0.3        0.3        8.27            23.3            7.17
    132        SUCCESS        4            28        0.3        5.44        8.27            47.1            2.54
    57        SUCCESS        4            15        0.3        0.3        8.38            17            7.27
    32        SUCCESS        4            35        0.3        0.3        8.38            11.2            7.27
    11        SUCCESS        4            38        0.3        0.3        8.49            42.6            7.37
    129        SUCCESS        4            56        0.3        3.88        8.49            15.2            4.15
    8        SUCCESS        4            18        0.3        0.3        8.96            18.6            7.8
    38        SUCCESS        4            25        0.3        0.3        9.07            36.9            7.9
    7        SUCCESS        4            41        0.3        0.3        9.07            53.8            7.9
    78        SUCCESS        4            43        0.3        0.3        9.28            33.9            8.08
    162        SUCCESS        4            61        0.3        3.07        9.48            49.9            5.77
    16        SUCCESS        4            21        0.3        3.99        9.59            32            5.04
    4        SUCCESS        4            36        0.3        0.3        9.7            24.2            8.46
    18        SUCCESS        4            47        0.3        0.3        9.7            12.2            8.46
    87        SUCCESS        4            46        0.3        0.3        9.88            14.2            8.62
    5        SUCCESS        4            48        0.3        0.3        10.01            32.4            8.74
    64        SUCCESS        4            17        0.3        0.3        10.12            13.7            8.84
    77        SUCCESS        4            29        0.3        6.83        10.36            35.2            3.18
    62        SUCCESS        4            59        0.3        0.3        10.47            25.2            9.15
    131        SUCCESS        4            63        0.3        3.46        10.47            30.3            6.31
    17        SUCCESS        4            49        0.3        0.3        10.58            23.8            9.25
    45        SUCCESS        4            27        0.3        3.66        10.69            27.9            6.33
    48        SUCCESS        4            58        0.3        5.62        10.8            6            4.66
    33        SUCCESS        4            57        0.3        0.3        10.91            14.6            9.55
    69        SUCCESS        4            55        0.3        4.55        11.03            39.7            5.83
    204        SUCCESS        4            19        0.3        5.96        11.19            44.2            4.7
    41        SUCCESS        3            13        0.3        0.3        11.23            22.4            5.47
    27        SUCCESS        4            45        0.3        0.3        11.3            16.5            9.9
    130        SUCCESS        4            32        0.3        0.3        11.53            23.7            10.1
    68        SUCCESS        4            23        0.3        8.27        11.64            43            3.03
    1        SUCCESS        4            39        0.3        0.3        11.91            20.1            10.45
    71        SUCCESS        4            53        0.3        0.3        12.08            5.3            10.6
    6        SUCCESS        4            31        0.3        0.3        12.19            46.6            10.7
    30        SUCCESS        4            51        0.3        0.3        12.19            20.6            10.7
