Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    BWCost    CPUCost
    39        SUCCESS        4            5        0.3        0.3        2.96            19.2            2.39
    67        SUCCESS        4            9        0.3        0.3        3.75            43.5            3.1
    79        SUCCESS        4            8        0.3        0.3        3.86            39.7            3.21
    91        SUCCESS        4            6        0.3        0.3        4.11            32.5            3.43
    29        SUCCESS        3            4        0.3        0.3        5.42            20.3            2.56
    46        SUCCESS        4            7        0.3        0.3        5.62            30.3            4.79
    68        SUCCESS        4            5        0.3        2.96        6.32            43            3.02
    13        SUCCESS        3            3        0.3        0.3        6.62            45            3.16
    51        SUCCESS        3            2        0.3        0.3        6.98            19.4            3.34
    15        SUCCESS        4            5        0.3        6.32        9.74            37.6            3.08
    88        SUCCESS        4            6        0.3        4.11        9.85            45.9            5.17
    2        SUCCESS        4            9        0.3        3.75        9.96            38.9            5.6
    12        SUCCESS        4            8        0.3        3.86        10.89            56.9            6.33
    84        SUCCESS        4            7        0.3        5.62        11.57            39.6            5.35
    22        SUCCESS        3            4        0.3        5.42        12.15            50.4            3.36
    50        SUCCESS        4            5        0.3        9.74        13.99            45.9            3.82
    77        SUCCESS        3            2        0.3        6.98        14.04            35.2            3.53
    21        SUCCESS        3            3        0.3        6.62        14.25            27.2            3.81
    93        SUCCESS        2            0        0.3        0.3        14.33            23.3            4.21
    56        SUCCESS        4            6        0.3        9.85        15.71            19.2            5.27
    58        SUCCESS        4            9        0.3        9.96        16.48            37.7            5.87
    89        SUCCESS        2            1        0.3        0.3        16.59            17.4            4.89
    81        SUCCESS        4            7        0.3        11.57        18.28            41.5            6.04
    94        SUCCESS        4            8        0.3        10.89        18.64            32.8            6.98
    31        SUCCESS        3            4        0.3        12.15        18.9            26.2            3.38
    47        SUCCESS        4            5        0.3        13.99        20.72            48.7            6.05
    26        SUCCESS        4            6        0.3        15.71        21.75            18.4            5.43
    45        SUCCESS        4            9        0.3        16.48        23.41            27.9            6.23
    16        SUCCESS        3            3        0.3        14.25        25.3            32            5.53
    73        SUCCESS        4            7        0.3        18.28        25.65            28.3            6.64
    14        SUCCESS        3            4        0.3        18.9        26.18            26.6            3.64
    24        SUCCESS        4            8        0.3        18.64        26.51            23.3            7.08
    60        SUCCESS        4            6        0.3        21.75        28.87            40.7            6.41
    75        SUCCESS        3            2        0.3        14.04        28.98            17.6            7.47
    74        SUCCESS        4            5        0.3        20.72        29.55            39.4            7.95
